FileName,FileExtension,FilePath,CreatedDateTime,ModifiedDateTime,CreatedBy,ModifiedBy,FileSize,ItemType,IsFolder
1. Audited FS or management accounts,,SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts,09/04/2025 01:25,09/04/2025 01:25,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
2022 ALLIED CONTAINER DEPOT SERVICES SDN BHD_.pdf,,SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/2022 ALLIED CONTAINER DEPOT SERVICES SDN BHD_.pdf,09/04/2025 01:26,09/04/2025 01:26,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
2023 ALLIED CONTAINER DEPOT SERVICES SDN BHD_.pdf,,SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/2023 ALLIED CONTAINER DEPOT SERVICES SDN BHD_.pdf,09/04/2025 01:26,09/04/2025 01:26,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
Profit & Loss 2024.xlsx,,SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/Profit & Loss 2024.xlsx,09/04/2025 01:26,09/04/2025 01:26,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
Standard Balance Sheet 2024.xlsx,,SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/Standard Balance Sheet 2024.xlsx,09/04/2025 01:26,09/04/2025 01:26,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
Trial Balance 2024.xlsx,,SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/Trial Balance 2024.xlsx,09/04/2025 01:26,09/04/2025 01:26,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
2. Tax computation,,SHARING/Project Rubicon Tax DD/Malaysia/2. Tax computation,09/04/2025 01:27,09/04/2025 01:27,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
Allied Container Depot Services Sdn Bhd - Tax comp '22.pdf,,SHARING/Project Rubicon Tax DD/Malaysia/2. Tax computation/Allied Container Depot Services Sdn Bhd - Tax comp '22.pdf,09/04/2025 01:28,09/04/2025 01:28,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
Allied Container Depot Services Sdn Bhd - Tax Computation YA 2023  (FYE 31.12.2023).pdf,,SHARING/Project Rubicon Tax DD/Malaysia/2. Tax computation/Allied Container Depot Services Sdn Bhd - Tax Computation YA 2023  (FYE 31.12.2023).pdf,09/04/2025 01:28,09/04/2025 01:28,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
4. General Ledger and Accounts Payable Listing,,SHARING/Project Rubicon Tax DD/Malaysia/4. General Ledger and Accounts Payable Listing,09/04/2025 01:52,09/04/2025 01:52,josephine.tan@allied.com.sg,josephine.tan@allied.com.sg,0,Folder,TRUE
